,Name,HSP.20,HSP.40,HSP.60,HSP.70,HSP.90,HSP.100,sum_HSP,total_number_protein
313,Emericella_nidulans,5,25,9,14,1,9,59,10556
314,Emiliania_huxleyi,5,160,20,30,6,23,55,35676
315,Emmonsia_crescens,1,27,10,10,1,10,67,9444
316,Emmonsia_parva,1,26,9,9,1,9,24,8561
317,Emmonsia_sp.,2,30,11,12,1,11,58,8745
318,Encephalitozoon_cuniculi,0,8,8,4,1,3,122,2041
319,Endocarpon_pusillum,2,24,9,11,1,11,91,9228
320,Entamoeba_histolytica,4,22,14,59,3,20,78,7959
321,Entamoeba_invadens,3,15,6,49,1,17,30,9857
322,Enterobius_vermicularis,16,31,12,8,4,7,19,12869
323,Enterocytozoon_bieneusi,0,7,14,4,1,4,17,3311
324,Enterocytozoon_hepatopenaei,0,3,8,4,1,3,89,2402
325,Enterospora_canceri,0,4,7,3,1,2,44,2147
326,Equus_caballus,8,38,14,14,4,11,93,20497
327,Eremothecium_cymbalariae,2,16,9,8,1,8,255,4429
328,Erinaceus_europaeus,8,39,18,14,4,10,56,19242
329,Erythranthe_guttata,43,115,26,31,9,31,204,27703
330,Escovopsis_weberi,2,23,10,10,1,10,70,6869
331,Eucalyptus_grandis,45,85,18,18,16,22,34,36664
332,Euroglyphus_maynei,6,25,17,11,4,7,208,15238
333,Eurypyga_helias,2,16,5,5,1,5,61,7979
334,Eutrema_salsugineum,21,106,24,21,9,27,94,26426
335,Eutypa_lata,3,23,9,15,1,10,68,11684
336,Exidia_glandulosa,12,36,16,18,2,10,60,26305
337,Exophiala_aquamarina,9,26,10,10,1,12,56,13118
338,Exophiala_dermatitidis,6,24,10,10,1,9,63,9285
339,Exophiala_mesophila,4,23,10,8,1,10,64,9181
340,Exophiala_oligosperma,7,25,10,11,1,9,67,11880
341,Exophiala_sideris,7,25,10,11,1,10,67,10191
342,Exophiala_spinifera,6,29,10,12,1,9,98,12047
343,Exophiala_xenobiotica,10,26,10,10,1,10,59,12019
344,Felis_catus,8,44,19,14,4,9,81,19609
345,Fibroporia_radiculosa,6,26,10,7,2,8,87,9251
346,Fibularhizoctonia_sp.,3,32,10,26,2,8,48,31934
347,Ficedula_albicollis,10,37,12,11,4,13,1,15290
348,Fistulina_hepatica,5,18,9,8,0,8,73,9322
349,Fomitiporia_mediterranea,0,0,1,0,0,0,68,531
350,Fomitopsis_pinicola,6,31,10,16,3,7,65,13805
351,Fonsecaea_erecta,8,24,10,14,1,11,67,12089
352,Fonsecaea_multimorphosa,7,25,10,12,1,10,50,12368
353,Fonsecaea_pedrosoi,8,25,10,11,2,11,104,12525
354,Fonticula_alba,0,23,9,6,3,9,112,5901
355,Fragilariopsis_cylindrus,1,64,10,11,4,14,39,18033
356,Fukomys_damarensis,9,43,22,21,9,8,60,20405
357,Fulmarus_glacialis,4,15,5,6,3,6,66,8115
358,Fungal_sp,1,30,10,15,1,8,63,14332
359,Fusarium_langsethiae,3,25,10,12,1,9,64,11939
360,Fusarium_oxysporum,4,27,10,17,1,7,64,16631
361,Fusarium_poae,3,25,10,16,1,8,77,14048
362,Gaeumannomyces_graminis,3,25,10,16,1,9,104,14188
363,Galdieria_sulphuraria,3,26,11,7,3,14,107,6595
364,Galerina_marginata,8,35,10,14,2,8,35,21354
365,Gallus_gallus,12,41,15,17,7,12,143,19121
366,Gasterosteus_aculeatus,10,51,13,16,5,12,32,20666
367,Gavia_stellata,4,14,6,3,3,5,61,7730
368,Genlisea_aurea,13,66,19,19,7,19,65,17675
369,Giardia_intestinalis,0,7,12,7,3,3,58,6085
370,Gibberella_fujikuroi,3,25,10,13,1,9,69,14792
371,Gibberella_moniliformis,3,26,10,17,1,8,91,15889
372,Gibberella_zeae,3,24,10,13,1,7,73,14160
373,Glarea_lozoyensis,6,29,10,13,1,10,100,13082
374,Globodera_pallida,16,37,11,18,5,4,64,16266
375,Gloeophyllum_trabeum,14,29,11,9,2,8,95,11735
376,Glossina_austeni,10,40,13,21,4,12,89,19639
377,Glossina_brevipalpis,9,27,12,8,2,6,85,14619
378,Glossina_fuscipes,10,36,14,19,4,12,78,20021
379,Glossina_morsitans,10,41,13,13,3,9,467,12514
